strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco
KZH23a.fna	Bacillus anthracis	2023-06-XX	Zambia	Kazungula	Homo sapiens 				SAMN49516560	GCA_054471315.2 	Contig	1.8	36					NCBI	clinical	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1197642	1197642	0.000%	36
KZH23b.fna	Bacillus anthracis	2023-06-XX	Zambia	Kazungula	Homo sapiens 				SAMN49516561	GCA_054471255.2 	Contig	1.8	36					NCBI	clinical	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1197642	1197642	0.000%	36
LADANYBENE.fna	Bacillus anthracis	2003-XX-XX	Hungary	Ladanybene			A.Br.113							47.0339086	19.4553886	99.43	0.29	unknown	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228098	4044382	0.002%	3
LaLC.fna	Bacillus anthracis	2011-XX-XX					A.Br.134	PRJNA514245	SAMD00135675	GCA_029695825.1	Contig	54	44			99.4	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	596192	596192	0.000%	28
LamDB.fna	Bacillus anthracis	2013-XX-XX	Viet Nam						SAMD00135676	GCA_036246085.1	Scaffold	171	16			92.3	13.47		NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228055	983026	1.309%	3
Larissa.fna	Bacillus anthracis	2012-XX-XX	Greece	Larissa	Ovis sp.	Blood	A.Br.105_(Tsiankovskii)	PRJNA286154	SAMN03765650	GCA_001277955.1	Chromosome	82	4	38.9953683	21.9877132	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5226878	3514805	0.001%	3
LNA_D1.fna	Bacillus anthracis	2016-10-07	Tanzania	Tanzania		Carcass	A.Br.038	PRJNA514245	SAMEA8914714	GCA_029698865.1	Contig	35	71	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.1	1	0.6	0.3	778	11	202326	202326	0.000%	66
LNA_D3.fna	Bacillus anthracis	2016-10-07	Tanzania	Tanzania		Carcass	A.Br.038	PRJNA514245	SAMEA8914715	GCA_029698825.1	Contig	78	91	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	166050	166050	0.000%	91
LNA-1.fna	Bacillus anthracis	2016-10-07	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614614	GCA_029693825.1	Contig	92	36	-3.05212	35.11393	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97	2.3	0.5	0.1	778	11	936527	936527	0.000%	36
LNA-2_T1.fna	Bacillus anthracis	2016-10-07	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMEA8914717	GCA_029698805.1	Contig	114	40	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	579966	579966	0.000%	40
LNA-2_T2.fna	Bacillus anthracis	2016-10-07	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMEA8914718	GCA_029698765.1	Contig	35	387	-6.5247123	35.7878438	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.2	0.9	0.5	0.4	778	11	70652	70652	0.000%	387
London_491.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Clinical	A.Br.155	PRJNA514245	SAMN03790801	GCA_029700905.1	Contig	58	217	51.4893335	-0.144055084527687	99.43	0.86	clinical	NCBI	bacillus_odb12	99.1	97.7	1.4	0.8	0.1	778	11	53303	53303	0.000%	217
London_494.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal Hide	A.Br.156	PRJNA514245	SAMN03790803	GCA_029700885.1	Contig	57	322	51.4893335	-0.144055084527687	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.8	1.4	0.6	0.1	778	11	45004	45004	0.000%	322
London_496.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal-Skin Drum	A.Br.154	PRJNA514245	SAMN03790804	GCA_029700865.1	Contig	57	156	51.4893335	-0.144055084527687	99.43	1.44	clinical	NCBI	bacillus_odb12	99.2	96.9	2.3	0.6	0.1	778	11	112363	112363	0.000%	156
London_497.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal Hide	A.Br.156	PRJNA514245	SAMN03790805	GCA_029700805.1	Contig	73	229	51.4893335	-0.144055084527687	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.7	1.5	0.6	0.1	778	11	61173	61173	0.000%	229
London_498.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal Hide	A.Br.156	PRJNA514245	SAMN03790806	GCA_029700845.1	Contig	66	194	51.4893335	-0.144055084527687	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.8	1.4	0.6	0.1	778	11	76394	76394	0.000%	194
London_499.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal Hide	A.Br.156	PRJNA287512	SAMN03790807	GCA_003227955.1	Complete	50	3	51.4893335	-0.144055084527687	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5228599	5228599	0.000%	3
London_500.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal Hide	A.Br.156	PRJNA514245	SAMN03790808	GCA_029700825.1	Contig	56	148	51.4893335	-0.144055084527687	99.43	2.78	clinical	NCBI	bacillus_odb12	99.2	95.8	3.5	0.6	0.1	778	11	104382	104382	0.000%	148
London_501.fna	Bacillus anthracis	2006-12-01	United Kingdom	London		Animal Hide	A.Br.156	PRJNA514245	SAMN03790809	GCA_029700785.1	Contig	62	137	51.4893335	-0.144055084527687	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.6	1.7	0.6	0.1	778	11	112600	112600	0.000%	137
Lonjsko_polje.fna	Bacillus anthracis	2022-01-XX	Croatia	Lonsjko_park			B.Br.004_(FrenchB)		SAMN42150192	GCA_041262845.1	Chromosome	50	1						NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5439697	5439597	0.002%	1
M2003-10005694.fna	Bacillus anthracis	2003-XX-XX	Hungary	Hungary			A.Br.113							47	20	99.43	0.29	unknown	this study	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	5228374	4044670	0.002%	3
M2013-20021732.fna	Bacillus anthracis	2013-09-12	Hungary	Jászladány	Ovis sp.	Spleen	A.Br.110							47.3649496	20.1653647	99.43	0.29	clinical	this study	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	5230023	5230023	0.000%	3
M2014-20015364a.fna	Bacillus anthracis	2014-04-15	Hungary	Debrecen	Panthera leo	Organs	A.Br.113							47.5274076	21.6217273	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228150	4044383	0.002%	3
M2014-20015364b.fna	Bacillus anthracis	2014-04-15	Hungary	Debrecen	Bos taurus	Muscle	A.Br.113							47.5274076	21.6217273	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.7	0.6	0.5	0.1	778	11	5227917	4044219	0.002%	3
M2014-20034545.fna	Bacillus anthracis	2014-07-14	Hungary	Tiszafüred	Bos taurus	Spleen	A.Br.110							47.6130877	20.7502258	99.43	0.29	clinical	this study	bacillus_odb12	99.1	98.3	0.8	0.5	0.4	778	11	5229791	5229791	0.000%	3
M2014-20034830.fna	Bacillus anthracis	2014-07-23	Hungary	Egyek	Bos taurus	Spleen	A.Br.110							47.6236553	20.891385	99.43	0.29	clinical	this study	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	5228041	4044437	0.002%	3
M2014-20036204.fna	Bacillus anthracis	2014-07-29	Hungary	Tiszafüred	Bos taurus	Blood	A.Br.110							47.6130877	20.7502258	99.36	0.29	clinical	this study	bacillus_odb12	98.8	98.1	0.8	0.8	0.4	778	11	5227916	2800220	0.014%	3
M2014-20036636.fna	Bacillus anthracis	2014-07-30	Hungary	Tiszafüred	Bos taurus	Spleen	A.Br.110							47.6130877	20.7502258	99.43	0.29	clinical	this study	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	5229790	5229790	0.000%	3
M2014-20036873.fna	Bacillus anthracis	2014-07-30	Hungary	Tiszacsege	Bos taurus	Spleen	A.Br.110							47.6975481	20.9935969	99.43	0.29	clinical	this study	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	5229788	5229788	0.000%	3
M2016-20043119.fna	Bacillus anthracis	2016-09-10	Hungary	Szeghalom	Bos taurus	Spleen	A.Br.113							47.0255741	21.1733473	99.43	0.29	clinical	this study	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5228119	4044366	0.093%	3
M2016-20043952.fna	Bacillus anthracis	2016-09-16	Hungary	Vésztö	Bos taurus	Spleen	A.Br.113							46.9241978	21.2598799	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5220053	5220053	0.000%	3
M2018-10014319.fna	Bacillus anthracis	2018-03-31	Hungary	Szentes-Cserebök	Ovis sp.	Spleen	A.Br.113							46.7665972210443	20.4352609802197	96.64	0.29	clinical	this study	bacillus_odb12	96.7	95.9	0.8	0.6	2.7	778	11	5202604	5202604	0.000%	3
M2018-20033866.fna	Bacillus anthracis	2018-07-03	Hungary	Tiszafüred	Bos taurus	Ear Blood	A.Br.110							47.6130877	20.7502258	99.43	0.29	clinical	this study	bacillus_odb12	99	98.3	0.6	0.6	0.4	778	11	5229777	5229777	0.000%	3
M2019-10017123.fna	Bacillus anthracis	2019-04-15	Hungary	Kötegyán	Bos taurus	Muscle	A.Br.110							46.7347025	21.47905	98.28	0.29	clinical	this study	bacillus_odb12	97.9	97.2	0.8	0.6	1.4	778	11	5084808	5084808	0.000%	4
MH-JJ.fna	Bacillus anthracis	2023-04-30	Austria	Mattighofen		Soil	A.Br.064.AUT							48.1052205	13.1497405	99.43	0.29	environment	this study	bacillus_odb12	98.8	98.1	0.8	0.8	0.4	778	11	5227439	5227439	0.028%	3
MH-MFM.fna	Bacillus anthracis	2023-04-30	Austria	Mattighofen		Soil	A.Br.073							48.1052205	13.1497405	98.85	0.29	environment	this study	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	5175977	3905291	0.017%	3
MH-PR.fna	Bacillus anthracis	2023-04-30	Austria	Mattighofen		Soil	A.Br.068							48.1052205	13.1497405	99.43	0.29	environment	this study	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	5228464	5228464	0.000%	3
MH-VW.fna	Bacillus anthracis	2023-04-30	Austria	Mattighofen		Soil	A.Br.064.AUT							48.1052205	13.1497405	99.43	0.29	environment	this study	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5228373	5228373	0.000%	3
MN-3197.fna	Bacillus anthracis	1923-09-14	Austria	Austria	Equus caballus	Large Intestine	A.Br.114							47.6964719	13.3457347	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227483	121500	1.355%	3
MN-3200.fna	Bacillus anthracis	20XX-XX-XX	Austria	Austria	Equus caballus	Mesentyrial lymph node	A.Br.110							47.6964719	13.3457347	99.43	0.29	clinical	this study	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	5226979	90092	1.357%	3
MN-3202.fna	Bacillus anthracis	1923-12-11	Austria	Austria	Bos taurus	Lung	A.Br.129							47.6964719	13.3457347	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227386	63346	1.315%	3
MN-3205.fna	Bacillus anthracis	1923-04-16	Austria	Austria	Equus caballus	Large Intestine	A.Br.140_(L1)							47.6964719	13.3457347	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227099	134065	1.284%	3
MN-3208.fna	Bacillus anthracis	1937-09-13	Turkey	Ankara	Bos taurus	Abomasum	A.Br.093							39.91987	32.85427	99.43	0.29	clinical	this study	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	5225704	156842	0.923%	3
MN-3211.fna	Bacillus anthracis	1927-XX-XX	Austria	Markgrafneusiedl	Bos taurus	Small Intestine	A.Br.065							48.266944	16.631944	99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5226611	121403	1.288%	3
MN-3213.fna	Bacillus anthracis	1924-03-18	Austria	Austria	Equus caballus	Small Intestine	A.Br.114									99.43	0.29	clinical	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5226571	307511	0.961%	3
NIVEDIAX3.fna	Bacillus anthracis	2018-XX-XX	India	Karnataka	Bos. sp.	blood			SAMN46830249	GCA_056156805.1	Contig	200	167			96.23	1.12	clinical	NCBI	bacillus_odb12	94.2	93.4	0.8	2.4	3.3	778	11	137888	137888	0.000%	167
NIVEDIAX61.fna	Bacillus anthracis	2024-XX-XX	India	Karnataka	Ovis sp.	blood			SAMN46830315	GCA_056156845.1	Contig	200	50			98.61	0.4	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	587414	587414	0.000%	50
NL2016_1.fna	Bacillus anthracis	2016-10-10	Zambia	Zambia			A.Br.039	PRJNA514245	SAMD00106223	GCA_029695905.1	Contig	706	45	-11.6141	32683	99.43	0.86	unknown	NCBI	bacillus_odb12	99.4	97.2	2.2	0.5	0.1	778	11	377954	377954	0.000%	45
NL2016_2.fna	Bacillus anthracis	2016-10-10	Zambia	Zambia			A.Br.039	PRJNA514245	SAMD00106224	GCA_029695945.1	Contig	814	43	-11.6141	32683	99.43	0.86	unknown	NCBI	bacillus_odb12	99.4	97.2	2.2	0.5	0.1	778	11	919677	919677	0.000%	41
NL2016_3.fna	Bacillus anthracis	2016-10-10	Zambia	Zambia			A.Br.039	PRJNA514245	SAMD00106225	GCA_029695865.1	Contig	684	49	-11.6141	32683	99.43	0.86	unknown	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	765993	765993	0.000%	49
NOGRADMEGYER.fna	Bacillus anthracis	2003-XX-XX	Hungary	Nógrádmegyer			A.Br.113							48.0688317	19.6243876	99.43	0.29	unknown	this study	bacillus_odb12	98.8	98.1	0.8	0.9	0.3	778	11	5228235	4044612	0.001%	3
NR-1041.fna	Bacillus anthracis	20XX-XX-XX					A.Br.131	PRJNA553548	SAMN12238215	GCA_031317455.1	Contig		33			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.6	0.6	0.6	0.1	778	11	580500	580500	0.000%	33
NR-1202.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA553548	SAMN12238216	GCA_031317435.1	Contig		31			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.5	0.3	778	11	1805703	1805703	0.000%	31
NR-1389.fna	Bacillus anthracis	20XX-XX-XX					A.Br.097	PRJNA553548	SAMN12238217	GCA_031317405.1	Scaffold		176			99.43	0.39	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	99587	95821	0.009%	169
NR-1408.fna	Bacillus anthracis	20XX-XX-XX					A.Br.086	PRJNA553548	SAMN12238218	GCA_031317375.1	Scaffold		983			99.35	0.83	unknown	NCBI	bacillus_odb12	98.6	97.8	0.8	0.9	0.5	778	11	18468	17856	0.071%	944
NR-36073.fna	Bacillus anthracis	20XX-XX-XX					A.Br.015	PRJNA553548	SAMN12238220	GCA_031317355.1	Scaffold		162			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	134230	128645	0.028%	149
NR-36091.fna	Bacillus anthracis	20XX-XX-XX					A.Br.100	PRJNA553548	SAMN12238221	GCA_031317335.1	Scaffold		309			99.43	0.29	unknown	NCBI	bacillus_odb12	99	98.2	0.8	0.9	0.1	778	11	70180	58377	0.039%	287
NR-3838.fna	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA553548	SAMN12238219	GCA_031317395.1	Scaffold		52			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.3	0.9	0.6	0.1	778	11	482923	482917	0.001%	51
NR-41.fna	Bacillus anthracis	20XX-XX-XX					A.Br.092	PRJNA553548	SAMN12238212	GCA_031317495.1	Scaffold		174			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	186795	121334	0.017%	164
NR-411.fna	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA553548	SAMN12238214	GCA_031317465.1	Contig		33			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	1161778	1161778	0.000%	33
NR-46.fna	Bacillus anthracis	20XX-XX-XX					A.Br.089	PRJNA553548	SAMN12238213	GCA_031317505.1	Scaffold		614			99.43	0.29	unknown	NCBI	bacillus_odb12	99	98.2	0.8	0.8	0.3	778	11	43411	37895	0.075%	571
NR-51483.fna	Bacillus anthracis	20XX-XX-XX					A.Br.080	PRJNA553548	SAMN12238222	GCA_031317315.1	Contig		46			99.43	0.29	unknown	NCBI	bacillus_odb12	99	98.2	0.8	0.6	0.4	778	11	1162153	1162153	0.000%	46
NR-51484.fna	Bacillus anthracis	20XX-XX-XX					A.Br.157	PRJNA553548	SAMN12238223	GCA_031317295.1	Contig		36			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	856651	856651	0.000%	36
NR-51485.fna	Bacillus anthracis	20XX-XX-XX					A.Br.139	PRJNA553548	SAMN12238224	GCA_031317255.1	Contig		32			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1161978	1161978	0.000%	32
NR-51486.fna	Bacillus anthracis	20XX-XX-XX					A.Br.157	PRJNA553548	SAMN12238225	GCA_031317275.1	Contig		30			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1162030	1162030	0.000%	30
NRS-1231.fna	Bacillus anthracis	1951-10-16				autoclaved horse hair	A.Br.020		SAMN41009537	GCA_050482785.1	Contig	441786	34						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	514522	514522	0.000%	34
NRS-1232.fna	Bacillus anthracis	1951-10-16			mouse	lesion	A.Br.020		SAMN41009538	GCA_050482765.1	Contig	317.44	34						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	919107	919107	0.000%	34
NRS-1236.fna	Bacillus anthracis	1951-10-16			mouse	heart blood	A.Br.021		SAMN41009539	GCA_050482745.1	Contig	348176	33						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	839272	839272	0.000%	33
NRS-723.fna	Bacillus anthracis	1950-10-31					A.Br.021		SAMN41009852	GCA_050475445.1	Contig	524311	37						NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	565411	565411	0.000%	37
ODK9.fna	Bacillus anthracis	2022-05-27	Indian Ocean		Bos indicus	Cattle - Tissue	A.Br.078		SAMEA115165821	GCA_050933155.1	Contig	651	51						NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	499598	499598	0.000%	51
Ohio-ACB.fna	Bacillus anthracis	20XX-XX-XX	USA	Ohio	Sus scrofa		A.Br.098	PRJNA238205	SAMN03010429	GCA_000832505.1	Complete	324	3	40.2253569	-82.6881395	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5222171	5222171	0.000%	3
OK-05.fna	Bacillus anthracis	2023-03-27	India		Bubalus bubalis		A.Br.078	PRJNA1040472	SAMN38260084	GCA_034259145.1	Chromosome		8			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5227545	1384661	0.006%	3
OK-29.fna	Bacillus anthracis	2023-06-04	India	Koraput	Bos taurus	Bone	A.Br.078	PRJNA1047755	SAMN38582575	GCA_035579705.1	Chromosome	105		18.8126081	-82.7117069	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227616	1234346	0.010%	3
P04210076.fna	Bacillus anthracis	2021-01-21	Indonesia	Klepu Village		Soil	A.Br.081_(Ames)	PRJNA750666	SAMN20475816	GCA_019693235.1	Complete	11	3	-8.19306834	110.98496149	99.43	0.29	environment	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5226685	5226685	0.000%	3
PAK-1.fna	Bacillus anthracis	1996-01-25	Pakistan	Pakistan	Ovis sp.		A.Br.163	PRJNA257008	SAMN03757453	GCA_001273145.1	Contig	716212	116	30.3308401	71.247499	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	243731	243731	0.000%	116
Parent1.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04093743	GCA_001683095.1	Complete	600	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228660	5228660	0.000%	1
Parent2.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04093744	GCA_001683065.1	Complete	600	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227092	5227092	0.000%	1
Pasteur_2015.fna	Bacillus anthracis	20XX-XX-XX			Felis catus		A.Br.131	PRJNA238046	SAMN03024436	GCA_000832585.1	Complete	688	2			99.14	0.29	clinical	NCBI	bacillus_odb12	99.1	98.5	0.6	0.6	0.3	778	11	5200082	5200079	0.000%	2
Pasteur_2022.fna	Bacillus anthracis	20XX-XX-XX	United Kingdom	United Kingdom			A.Br.131	PRJNA695105	SAMN18241473	GCA_022221105.1	Complete	50	2	54.7023545	-3.2765753	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.6	0.6	0.6	0.1	778	11	5197747	5197747	0.000%	2
PF1.fna	Bacillus anthracis	2012-06-XX	France	Chambery	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN13173321	GCA_029695505.1	Contig	488	84	45.34	5.5559	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.6	1.7	0.6	0.1	778	11	263219	263219	0.000%	84
PNO2.fna	Bacillus anthracis	1935-XX-XX	China	Beijing	Homo sapiens		A.Br.114	PRJNA801913	SAMN25416578	GCA_022014755.1	Complete	890	3	39.54	116.23	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229474	5229474	0.000%	3
Pollino-3734.fna	Bacillus anthracis	2013-XX-XX	Italy	Italy	Bos taurus	Carcass	A.Br.144_(Pollino)	PRJNA695105	SAMN18241467	GCA_022221225.1	Complete	59	3	42.6384261	12.674297	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228919	5228919	0.000%	3
Pollino.fna	Bacillus anthracis	2014-XX-XX	Italy	Basilicata	Bos taurus	Carcass	A.Br.144_(Pollino)	PRJNA273788	SAMN03296000	GCA_000831505.1	Chromosome	111	6	40.500571	16.081953	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5227410	1699079	0.003%	3
PR01.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075676	GCA_001683135.1	Complete	30	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228656	5228656	0.000%	1
PR02.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075677	GCA_001683155.1	Complete	690	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228657	5228657	0.000%	1
PR05.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075680	GCA_001683175.1	Complete	700	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228658	5228658	0.000%	1
PR06.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075681	GCA_001683195.1	Complete	750	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228656	5228656	0.000%	1
PR07.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075682	GCA_001683215.1	Complete	633	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227094	5227094	0.000%	1
PR08.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075683	GCA_001683235.1	Complete	675	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227091	5227091	0.000%	1
PR09-1.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075684	GCA_001683255.1	Complete	545	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227060	5227060	0.000%	1
PR09-4.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075685	GCA_001683275.1	Complete	571	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227090	5227090	0.000%	1
PR10-4.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			A.Br.077	PRJNA295544	SAMN04075686	GCA_001683295.1	Complete	562	1	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5227079	5227079	0.000%	1
r9.fna	Bacillus anthracis	2016-06-XX	China	Jingxi City	Equus caballus	meat	A.Br.081_(Ames)		SAMN43359983	GCA_044751485.1	Contig	100	28					clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	686457	686457	0.000%	28
RA3.fna	Bacillus anthracis	1998-XX-XX	France	France	Bos sp.		B.Br.007_(FrenchB)	PRJNA238136	SAMN03075602	GCA_000832745.1	Complete	326	3	46.603354	1.8883335	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.6	0.6	0.5	0.3	778	11	5213209	5213209	0.000%	3
SA020.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa		Soil	B.Br.001	PRJNA695105	SAMN18241464	GCA_022221285.1	Complete	98	3	-28.8166236	24.991639	99.43	0.36	environment	NCBI	bacillus_odb12	99.2	98.5	0.8	0.4	0.4	778	11	5220564	5220564	0.000%	3
SA047.fna	Bacillus anthracis	1999-XX-XX	South Africa	Rondebusch		Soil	A.Br.073	PRJNA309927	SAMN08812797	GCA_003064005.1	Contig	82	35	52.8055502	7.8469583	99.43	0.29	environment	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	867552	867552	0.000%	35
